question_id,original_question,improved_question,quality_score,remembering_score,understanding_score,applying_score,analyzing_score,evaluating_score,creating_score,language_score,average_confidence,pass_rate,agent_agreement
41,"A train leaves Station A heading towards Station B at 60 miles per hour. Another train leaves Station B heading towards Station A at the same time at a speed of x miles per hour. If the distance between Station A and Station B is d, they meet after y hours. Calculate the value of z.","Two trains depart simultaneously from Stations A and B, which are 480 miles apart. Train A travels towards Station B at 60 miles per hour, while Train B travels towards Station A at a speed of x miles per hour. They meet exactly 4 hours later. Determine the speed of Train B.",0.83,70.0,85.0,85.0,90.0,90.0,90.0,95.0,93.57142857142857,1.0,0.9141131830957582
42,"A rectangle has a length that is twice the width, and the area of the rectangle is 50 square units. What is the perimeter of the rectangle?","A rectangular garden has a length that is exactly twice its width. If the area of the garden is 50 square meters, what is the perimeter of the garden?"",
    ""solution"": ""Let the width of the garden be \( W \\) meters. Then, the length of the garden is \( 2W \\) meters. Given the area of the garden is 50 square meters, we use the formula for the area of a rectangle: \( \\text{Area} = \\text{length} \\times \\text{width} \\). Therefore, \( 2W \\times W = 50 \\), which simplifies to \( 2W^2 = 50 \\). Solving for \( W \\), we get \( W^2 = 25 \\) and thus \( W = 5 \\) meters (since width cannot be negative). Consequently, the length is \( 2W = 10 \\) meters. The perimeter \( P \\) of the rectangle is given by \( P = 2(\\text{length} + \\text{width}) = 2(10 + 5) = 30 \\) meters.",0.831,95.0,85.0,65.0,85.0,85.0,85.0,95.0,94.28571428571429,1.0,0.8910799882620528
43,"Alex has x more apples than Beth. Together, they have 10 apples. How many apples does Beth have if Alex has twice as many apples as Beth?","Alex and Beth together have 10 apples. If Alex has twice as many apples as Beth, how many apples does Beth have?",0.826,70.0,85.0,85.0,85.0,85.0,85.0,85.0,91.42857142857143,1.0,0.9366511273418143
44,"A train leaves from Station A towards Station B, which is 150 miles away. A second train leaves from Station B towards Station A at the same time. If the first train travels at a constant speed of 60 mph and the second train travels at 50 mph, at what time will they meet?","Two trains depart simultaneously from Stations A and B, which are 150 miles apart. Train A heads towards Station B at a constant speed of 60 mph, while Train B moves towards Station A at a constant speed of 50 mph. Assuming they start at exactly 12:00 PM, at what exact time will they meet?",0.993,100.0,90.0,85.0,90.0,90.0,90.0,100.0,96.42857142857143,1.0,0.9430351222608563
45,"A rectangle has a length that is twice its width. If the perimeter of the rectangle is 30 units, find the area without using any measurements.","A rectangle has a length that is twice its width. If the perimeter of the rectangle is 30 units, calculate the area of the rectangle. Show your work detailing how you use the given perimeter to find the dimensions."",
    ""solution"": ""To solve for the area of the rectangle, start by defining the variables. Let \( w \) represent the width of the rectangle and \( l \) represent the length. According to the problem, the length is twice the width, so we can write \( l = 2w \). The formula for the perimeter of a rectangle is \( P = 2(l + w) \). Given that the perimeter is 30 units, substitute the known values into the perimeter formula:\n\n\[ 30 = 2(2w + w) \]\nSimplify inside the parentheses:\n\n\[ 30 = 2(3w) \]\nDivide both sides by 2 to isolate the term with \( w \):\n\n\[ 15 = 3w \]\nNow, divide both sides by 3 to solve for \( w \):\n\n\[ w = 5 \]\nSince the length is twice the width, \( l = 2w = 2 \times 5 = 10 \). To find the area, use the formula for the area of a rectangle, \( A = l \times w \):\n\n\[ A = 10 \times 5 = 50 \]\nThe area of the rectangle is 50 square units.",0.99,90.0,85.0,85.0,90.0,90.0,85.0,95.0,95.0,1.0,0.960492100922852
46,"If a car travels at 60 kilometers per hour, how long does it take to travel 120 kilometers or 80 kilometers?","A car travels at a constant speed of 60 kilometers per hour. How much time will it take for the car to travel 120 kilometers? Additionally, compare this time with the time it takes to travel 80 kilometers.",0.99,90.0,85.0,85.0,90.0,90.0,85.0,95.0,95.0,1.0,0.960492100922852
47,"A farmer is dividing apples. If twice the number of apples plus 3 apples equals 10 apples, how many apples does each of the farmer's 3 bags contain?","A farmer has some apples and wants to distribute them equally among three bags. If the farmer doubles the total number of apples and adds 3 more, he ends up with 19 apples. How many apples will each bag contain?",0.694,70.0,85.0,85.0,85.0,85.0,85.0,70.0,90.0,1.0,0.9160457258362377
48,A train travels from Station A to Station B at a speed of 60 km/h. Another train departs 30 minutes later from Station B to Station A at a speed of 80 km/h. At what point do the two trains meet?,"Two trains, Train X and Train Y, start their journeys simultaneously but from opposite directions. Train X leaves Station A towards Station B at a speed of 60 km/h, while Train Y leaves Station B towards Station A at a speed of 80 km/h. The distance between the stations is 300 km. At what point along the route from Station A will the two trains meet?"",
    ""solution"": ""To find the meeting point, we first need to determine the relative speed of the two trains moving towards each other. The combined speed is 60 km/h + 80 km/h = 140 km/h. Let \( t \) be the time in hours until the trains meet. Using the formula distance = speed * time, the distance covered by both trains together when they meet is 140t km. Since the total distance between the stations is 300 km, we have 140t = 300. Solving for \( t \), we get \( t = \\frac{300}{140} = \\frac{15}{7} \\) hours. In this time, Train X (from Station A) covers a distance of 60 * \\frac{15}{7} = \\frac{900}{7} \\approx 128.57 \\) km. Therefore, the two trains meet approximately 128.57 km from Station A.",0.829,80.0,85.0,85.0,90.0,90.0,90.0,85.0,92.85714285714286,1.0,0.9595125662349888
49,"If 3x + 4 equals 12, what is y?","In a treasure hunt game, you find a clue that says 'To unlock the next level, solve for x in the equation 3x + 4 = 12, and then use x to calculate the value of y using the formula y = 2x^2 - 5x + 7. What is the value of y?'",0.831,70.0,85.0,85.0,90.0,90.0,90.0,95.0,94.28571428571429,1.0,0.9141131830957582
50,"A train leaves Station A heading towards Station B at a speed of 60 km/h. At the same time, another train leaves Station B heading towards Station A at a speed of 40 km/h. If the distance between Station A and Station B is increased by 20 km, when will the trains meet?","Two trains, Train X and Train Y, start simultaneously from Stations A and B respectively, which are initially 300 km apart. Train X travels towards Station B at 60 km/h, while Train Y travels towards Station A at 40 km/h. Suddenly, due to construction, the distance between the stations increases by 20 km during their journey. Assuming the trains maintain their speeds and travel in straight lines, at what time after departure do they meet?",0.827,80.0,85.0,85.0,90.0,85.0,85.0,95.0,92.14285714285714,1.0,0.9490544297275291
51,"A rectangular garden has a length that is twice its width, and its perimeter is 50 meters. How many meters is the area of the garden if it has 4 equal sides?","A rectangular garden has a length that is twice its width, and its perimeter is 50 meters. If the same amount of fencing material is used to create a square garden, what would be the area of the square garden?"",
    ""solution"": ""First, determine the dimensions of the rectangular garden. Let the width be \( w \) and the length be \( 2w \). Given the perimeter is 50 meters, we have the equation:\n\[ 2(w + 2w) = 50 \\]\nSolving for \( w \):\n\[ 6w = 50 \\]\n\[ w = \\frac{50}{6} = \\frac{25}{3} \\text{ meters} \\]\nThen, the length is \( 2w = \\frac{50}{3} \\text{ meters} \\).\nNext, calculate the total fencing material used, which is the perimeter of the rectangle, 50 meters. For a square garden using the same amount of fencing material, each side will be \( \\frac{50}{4} = 12.5 \\text{ meters} \\). The area of the square is then:\n\[ (12.5)^2 = 156.25 \\text{ square meters} \\]",0.83,80.0,85.0,85.0,90.0,90.0,85.0,85.0,93.57142857142857,1.0,0.9627322003750035
52,Alex has a box of chocolates. He eats some and then he has twice as many left as he ate. How many chocolates did he originally have?,"Alex starts with a box of chocolates. After eating 6 chocolates, he notices that he now has twice as many chocolates left as he ate. How many chocolates were in the box originally?"",
    ""solution"": ""Let \( x \) represent the original number of chocolates in the box. According to the problem, after eating 6 chocolates, Alex has \( x - 6 \) chocolates left. It's stated that the remaining chocolates are twice the amount he ate, which gives us the equation \( x - 6 = 2 \times 6 \\). Solving for \( x \\), we get \( x - 6 = 12 \\), leading to \( x = 18 \\). Therefore, Alex originally had 18 chocolates.",0.831,80.0,90.0,85.0,90.0,90.0,90.0,95.0,94.28571428571429,1.0,0.9502869838470244
53,"If the sum of three numbers is 45, and two of the numbers are equal while the third number is unknown, what are the numbers?","Three positive integers have a sum of 45. Two of these integers are identical, and the third integer is 9 less than twice the identical integers. What are the three integers?",0.826,70.0,85.0,85.0,85.0,85.0,85.0,95.0,91.42857142857143,1.0,0.9196031103347022
54,"Two trains leave different stations at the same time heading toward each other. If one train travels at 50 miles per hour and the other travels at 70 kilometers per hour, how far apart are the stations?","Two trains leave from stations 300 kilometers apart, heading towards each other. Train A travels at 50 kilometers per hour and Train B travels at 70 kilometers per hour. How many hours will it take for the two trains to meet? What is the distance each train has traveled when they meet?",0.831,60.0,90.0,90.0,90.0,90.0,90.0,95.0,94.28571428571429,1.0,0.8735780285886087
55,"A rectangle has an area of \(50\) square units. If the length is twice the width, what is the perimeter, assuming the rectangle is also a perfect square?","A rectangle has an area of 50 square units. If the length is twice the width, find the perimeter of the rectangle."",
    ""solution"": ""Let the width of the rectangle be \( w \). Since the length is twice the width, the length is \( 2w \). The area of the rectangle is given by the formula \( \text{Area} = \text{length} \times \text{width} \\). Substituting the values, we get \( 50 = 2w \times w \\), which simplifies to \( 2w^2 = 50 \\). Solving for \( w \\), we get \( w^2 = 25 \\) and thus \( w = 5 \\) (since width cannot be negative). The length is then \( 2w = 10 \\). The perimeter of a rectangle is given by \( 2(\text{length} + \text{width}) \\). Therefore, the perimeter is \( 2(10 + 5) = 30 \\) units.",0.831,70.0,85.0,85.0,90.0,90.0,85.0,95.0,94.28571428571429,1.0,0.9150163414401202
56,"A rectangle has a length that is twice as long as its width, and its area is greater than 20 square units. What is the perimeter of the rectangle?","A rectangle has a length that is twice its width. If the area of the rectangle is at least 24 square units, what is the minimum possible perimeter of the rectangle?"",
    ""solution"": ""Let the width of the rectangle be \( w \) and the length be \( 2w \). The area of the rectangle is given by \( w \times 2w = 2w^2 \\). Since the area must be at least 24 square units, we have \( 2w^2 \\geq 24 \\). Solving for \( w \\), we get \( w^2 \\geq 12 \\) and thus \( w \\geq \\sqrt{12} = 2\\sqrt{3} \\). The perimeter \( P \\) of the rectangle is calculated as \( P = 2(w + 2w) = 6w \\). Substituting the minimum value of \( w \\), we find \( P = 6 \\times 2\\sqrt{3} = 12\\sqrt{3} \\). Therefore, the minimum possible perimeter is \( 12\\sqrt{3} \\) units.",0.987,90.0,85.0,85.0,85.0,90.0,85.0,85.0,93.57142857142857,1.0,0.973865473882906
57,"If a train travels at 60 miles per hour and leaves Station A at the same time another train leaves Station B, which is 120 miles away from Station A, at 80 miles per hour, when will they meet?","Two trains, Train X and Train Y, start simultaneously from Stations A and B respectively, which are 120 miles apart. Train X travels from Station A towards Station B at a speed of 60 miles per hour, while Train Y travels from Station B towards Station A at a speed of 80 miles per hour. At what time will the two trains meet? Assume both trains maintain constant speeds.",0.991,90.0,90.0,85.0,90.0,90.0,90.0,100.0,95.71428571428571,1.0,0.954086992953974
58,A rectangle has a perimeter of 40 units. Find the area of the rectangle if the length of one side is twice another side's length.,"A rectangle has a perimeter of 40 units. If the length of the rectangle is exactly twice the width, what is the area of the rectangle?"",
    ""solution"": ""First, let's denote the width of the rectangle as \( w \). Given that the length is twice the width, we can represent the length as \( 2w \\). The formula for the perimeter of a rectangle is \( 2(l + w) \\). Substituting the given values into the formula, we get \( 2(2w + w) = 40 \\), simplifying to \( 6w = 40 \\). Solving for \( w \\), we find \( w = \\frac{40}{6} = \\frac{20}{3} \\) units. Therefore, the length is \( 2w = \\frac{40}{3} \\) units. The area of the rectangle is then calculated as \( l \\times w = \\left(\\frac{40}{3}\\right) \\times \\left(\\frac{20}{3}\\right) = \\frac{800}{9} \\) square units.",0.989,90.0,90.0,85.0,90.0,90.0,85.0,85.0,94.28571428571429,1.0,0.9718365722346524
59,"A train travels from city A to city B in 2 hours, and the distance between the cities is 120 miles, but the actual speed of the train is exactly double the speed given. How fast is the train going?","A train travels from city A to city B in 2 hours, covering a distance of 120 miles. However, due to favorable weather conditions, the train's actual speed was double its usual speed. What is the train's usual speed?",0.833,80.0,85.0,85.0,90.0,85.0,85.0,100.0,95.0,1.0,0.9324081044980711
60,"A rectangle has a length that is twice as long as its width and has an area of 50 square units. What is the width of the rectangle if its perimeter is either greater than, less than, or equal to 10 units?","A rectangle has a length that is twice its width and an area of 50 square units. If the width of the rectangle is increased by 1 unit, what is the new perimeter of the rectangle?"",
    ""solution"": ""First, determine the width and length of the original rectangle. Given the area formula for a rectangle, \( \\text{Area} = \\text{length} \\times \\text{width} \\), and knowing the length is twice the width, we can write: \n\[ 2w \\times w = 50 \\]
\[ 2w^2 = 50 \\]
\[ w^2 = 25 \\]
\[ w = 5 \\] (since width cannot be negative). Therefore, the length is \( 2 \\times 5 = 10 \\).

Now, if the width is increased by 1 unit, the new width is \( 5 + 1 = 6 \\) and the length remains 10. The new perimeter is calculated as:
\[ \\text{Perimeter} = 2 \\times (\\text{new width} + \\text{length}) \\]
\[ \\text{Perimeter} = 2 \\times (6 + 10) \\]
\[ \\text{Perimeter} = 2 \\times 16 \\]
\[ \\text{Perimeter} = 32 \\]
Thus, the new perimeter is 32 units.",0.827,80.0,85.0,85.0,90.0,90.0,85.0,85.0,92.14285714285714,1.0,0.9627322003750035
61,"A train leaves station A traveling at 60 km/h. Another train leaves station B traveling at 45 km/h towards station A. If stations A and B are 120 km apart, how long does it take for the trains to meet? Assume both trains start at the same time and meet where they intersect.","Two trains, Train X and Train Y, start simultaneously from stations A and B, respectively, which are 120 kilometers apart. Train X departs from station A traveling towards station B at a constant speed of 60 km/h, while Train Y departs from station B heading towards station A at a constant speed of 45 km/h. Both trains are on separate but parallel tracks. Calculate the time it takes for the two trains to meet."",
    ""solution"": ""To determine the time it takes for the trains to meet, we first calculate their combined speed, which is the sum of their individual speeds: 60 km/h + 45 km/h = 105 km/h. Given the distance between the two stations is 120 km, we use the formula \(time = \frac{distance}{speed}\). Thus, the time taken for the trains to meet is \(time = \frac{120 \text{ km}}{105 \text{ km/h}}\), which simplifies to approximately 1.14 hours.",0.989,90.0,85.0,85.0,85.0,85.0,85.0,100.0,94.28571428571429,1.0,0.9402563477369956
62,"If a car travels at a speed of 60 km/h and the journey takes 2 hours, how far does it travel if it stops midway for an indefinite period?","A car travels at a constant speed of 60 km/h for a planned journey of 2 hours without any stops. However, during the journey, the car makes a stop halfway through the intended travel time, but still completes the 2-hour period as scheduled. If the stop does not affect the overall travel time, what is the actual distance traveled?",0.984,90.0,85.0,85.0,85.0,85.0,85.0,95.0,92.14285714285714,1.0,0.958204758085305
63,"A train travels from City A to City B, which are 150 miles apart. If the train leaves City A at 10:00 AM and arrives at City B at the same time, how fast is the train traveling?","A high-speed train departs City A at 10:00 AM and arrives at City B, 150 miles away, exactly at 1:00 PM on the same day. Assuming the train travels at a constant speed, what is the average speed of the train during its journey?",0.831,60.0,85.0,85.0,90.0,90.0,90.0,100.0,94.28571428571429,1.0,0.8661468466315916
64,"If a rectangle has a perimeter of 40 units, and the area is twice the length of one of its sides, find the possible dimensions of the rectangle.",A rectangle has a perimeter of 40 units and its area is exactly twice the length of its longer side. Find the dimensions of the rectangle.,0.827,80.0,85.0,85.0,85.0,85.0,85.0,95.0,92.14285714285714,1.0,0.9514087342096225
65,"A train travels from City A to City B. If the train travels at a constant speed of 60 mph, how long does it take to reach City B if City B is 120 miles away, assuming the train leaves at 7 AM?","A high-speed train departs from City A bound for City B, located 120 miles away, traveling at a constant speed of 60 miles per hour. Assuming there are no stops or delays, how many hours will the journey take? Express your answer as a whole number.",0.99,90.0,85.0,85.0,90.0,85.0,85.0,100.0,95.0,1.0,0.9418459471699356
66,"A rectangle has a perimeter of 20 units. If the length is increased by 3 units and the width is decreased by 2 units, what is the area of the rectangle?","A rectangle has a perimeter of 20 units. If the length is increased by 3 units and the width is decreased by 2 units, the area of the rectangle becomes 24 square units. What were the original dimensions of the rectangle?",0.827,80.0,85.0,85.0,85.0,85.0,85.0,90.0,92.14285714285714,1.0,0.9685575009514795
67,"A rectangle has a length that is twice its width, and its area is 50 square units. Find the length and width.","A rectangular garden has a length that is exactly twice its width, and the total area of the garden is 50 square meters. If the width must be a positive integer, what are the dimensions of the garden?"",
    ""solution"": ""Let the width of the garden be \(x\) meters, where \(x\) is a positive integer. Since the length is twice the width, the length will be \(2x\) meters. The area of the garden is given by \(x \times 2x = 2x^2\), and we know this equals 50 square meters. Therefore, we have the equation \(2x^2 = 50\). Simplifying this equation gives us \(x^2 = 25\), leading to \(x = 5\) (since \(x\) must be a positive integer). Consequently, the width of the garden is 5 meters and the length is \(2 \times 5 = 10\) meters.",0.99,90.0,85.0,85.0,85.0,90.0,85.0,95.0,95.0,1.0,0.9585445568000587
68,"A rectangle has a width that is 3 times its length. If the perimeter of the rectangle is decreased by 10 units, what is the new width?","A rectangle has a width that is three times its length. If we decrease the perimeter of this rectangle by 10 units, find the new width of the rectangle assuming the original perimeter was 40 units."",
    ""solution"": ""Let the length of the rectangle be \( l \) and the width be \( w = 3l \\). The original perimeter is given as 40 units. The formula for the perimeter of a rectangle is \( 2(l + w) \\). Substituting the given values, we have \( 2(l + 3l) = 40 \\), which simplifies to \( 8l = 40 \\), and thus \( l = 5 \\). Therefore, the original width is \( w = 3 \times 5 = 15 \\). Decreasing the perimeter by 10 units results in a new perimeter of \( 40 - 10 = 30 \\) units. Let the new length be \( l' \\) and the new width be \( w' = 3l' \\). Using the perimeter formula again, we get \( 2(l' + w') = 30 \\). Substituting \( w' = 3l' \\), we have \( 2(l' + 3l') = 30 \\), which simplifies to \( 8l' = 30 \\), and thus \( l' = \frac{30}{8} = \frac{15}{4} \\). The new width is then \( w' = 3 \times \frac{15}{4} = \frac{45}{4} \\). Therefore, the new width is \( \frac{45}{4} \\) units.",0.987,90.0,85.0,85.0,85.0,85.0,85.0,95.0,93.57142857142857,1.0,0.958204758085305
69,"A rectangular field has a length that is twice its width. If the perimeter is 60 meters, what is the area of the field in square meters, assuming the field is used to plant either corn, wheat, or both?","A rectangular field has a length that is twice its width. If the perimeter of the field is 60 meters, what is the area of the field in square meters?"",
    ""solution"": ""First, let the width of the field be \( w \). Then the length of the field is \( 2w \\). The formula for the perimeter of a rectangle is \( 2l + 2w \\). Substituting the given values, we get \( 2(2w) + 2w = 60 \\). Simplifying this equation, we have \( 4w + 2w = 60 \\) which reduces to \( 6w = 60 \\). Solving for \( w \\), we get \( w = 10 \\) meters. Therefore, the length is \( 2w = 20 \\) meters. The area \( A \\) of the rectangle is given by \( l \\times w = 20 \\times 10 = 200 \\) square meters.",0.99,90.0,85.0,85.0,90.0,90.0,85.0,95.0,95.0,1.0,0.960492100922852
70,A train travels at a speed of 60 miles per hour in a northerly direction for an hour and then travels east for a while. How far has the train traveled?,"A train departs from a station and travels north at a constant speed of 60 miles per hour for exactly one hour. After reaching its northern destination, it changes course and heads east at a speed of 80 miles per hour for 45 minutes. Calculate the total distance traveled by the train.",0.834,70.0,90.0,85.0,90.0,95.0,90.0,100.0,95.42857142857143,1.0,0.9012302523071299
71,"Calculate the value of x for the financial gain in a business model where profits are dependent entirely on the weather, which is given as a random integer between 1 and 50. Assume the variable changes when sales figures, unrelated to the weather, fluctuate between -100 and 100.","In a unique business model, the daily profit P (in dollars) is determined by the weather condition W and the daily sales fluctuation S. The weather W is represented by a random integer between 1 and 50, where each unit represents a point on a scale from poor to ideal conditions. Daily sales fluctuation S varies between -100 and 100, indicating how much daily sales deviate from the average. The profit formula is given as P = 2W + 3S - 50. If the goal is to achieve a daily profit of at least $100, find the minimum values of W and S required.",0.829,70.0,85.0,85.0,85.0,90.0,85.0,90.0,92.85714285714286,1.0,0.9261203568891412
72,"A train leaves Station A traveling towards Station B at 60 mph. At the same time, another train leaves Station B traveling towards Station A at 70 mph. They are 300 miles apart. At what time do the trains meet?","Two trains begin their journeys simultaneously from Stations A and B which are 300 miles apart. Train A departs from Station A heading towards Station B at a constant speed of 60 mph, while Train B departs from Station B heading towards Station A at a constant speed of 70 mph. Assuming no external factors such as stops or delays, calculate the distance from Station A where the two trains will meet.",0.987,90.0,85.0,85.0,85.0,85.0,85.0,100.0,93.57142857142857,1.0,0.9402563477369956
73,A farmer has some cows and chickens. The total number of legs is 40. How many cows does the farmer own?,"A farmer owns a mix of cows and chickens, totaling exactly 15 animals. If the total number of legs among these animals is 40, how many cows does the farmer own?"",
    ""solution"": ""Let's define variables for clarity: let c represent the number of cows and h represent the number of chickens. We know two things from the problem statement: the total number of animals (cows and chickens) is 15, and the total number of legs is 40. We can set up the following system of equations based on this information:\n\n1. \( c + h = 15 \)\n2. \( 4c + 2h = 40 \)\n\nWe can solve this system step-by-step. First, simplify the second equation by dividing everything by 2:\n\n\( 2c + h = 20 \)\n\nNow we have a simpler system:\n\n1. \( c + h = 15 \)\n2. \( 2c + h = 20 \)\n\nSubtract the first equation from the second to eliminate h:\n\n\( (2c + h) - (c + h) = 20 - 15 \)\n\nThis simplifies to:\n\n\( c = 5 \)\n\nSo, the farmer owns 5 cows. To find the number of chickens, substitute \( c = 5 \) back into the first equation:\n\n\( 5 + h = 15 \)\n\nThus, \( h = 10 \). Therefore, the farmer owns 5 cows and 10 chickens.",0.991,90.0,90.0,90.0,90.0,95.0,90.0,95.0,95.42857142857143,1.0,0.9752947057799345
74,"If a rectangle has a perimeter of 20 units, and the length of the rectangle is twice its width plus 3 units, what are the dimensions of the rectangle?",A rectangular garden has a perimeter of 20 meters. The length of the garden is 3 meters more than twice its width. What are the exact dimensions of the garden?,0.986,90.0,85.0,85.0,85.0,85.0,85.0,90.0,92.85714285714286,1.0,0.973865473882906
75,"A rectangle's length is twice its width. If the perimeter is 20 units, what is the length and how many circles can fit inside?","A rectangle's length is twice its width. Given that the perimeter is 20 units, find the area of the rectangle and then calculate the maximum number of circles with a diameter equal to the width of the rectangle that can fit inside without overlapping."",
    ""solution"": ""First, define the width of the rectangle as \( w \). Since the length is twice the width, we have the length \( l = 2w \). The perimeter of the rectangle is given by the formula \( P = 2l + 2w \\), which simplifies to \( 2(2w) + 2w = 6w \\). Given that the perimeter is 20 units, we set up the equation \( 6w = 20 \\) and solve for \( w \\): \( w = \\frac{20}{6} = \\frac{10}{3} \\) units. Therefore, the length \( l = 2w = \\frac{20}{3} \\) units. The area \( A \\) of the rectangle is calculated as \( A = l \\times w = \\frac{20}{3} \\times \\frac{10}{3} = \\frac{200}{9} \\) square units. To determine the maximum number of circles that can fit inside, note each circle has a diameter equal to the width of the rectangle, which is \( \\frac{10}{3} \\) units. The length of the rectangle allows \( \\frac{\\frac{20}{3}}{\\frac{10}{3}} = 2 \\) circles along the length, and the width allows only 1 circle. Thus, the total number of circles that can fit is \( 2 \\times 1 = 2 \\).",0.826,80.0,85.0,85.0,85.0,85.0,85.0,85.0,91.42857142857143,1.0,0.9792416123492951
76,"A train travels from Town A to Town B at an average speed of 60 km/h. If the train returns to Town A at an average speed of 40 km/h, how many hours will the entire round trip take if the distance between the towns is 120 km?","A high-speed express train travels from Station Alpha to Station Beta at a constant speed of 60 km/h and then returns to Station Alpha at a constant speed of 40 km/h. Given that the distance between the two stations is exactly 120 km, calculate the total time taken for the round trip excluding any potential stops.",0.989,90.0,85.0,85.0,85.0,85.0,85.0,95.0,94.28571428571429,1.0,0.958204758085305
77,"If you have a rectangle with a length that is twice its width, and its perimeter is 30 meters, what is its area in square meters or feet?","A rectangular garden has a length that is twice its width. If the perimeter of the garden is 30 meters, what is its area in square meters?"",
    ""solution"": ""First, let the width of the rectangle be denoted as \( w \) meters. Then the length would be \( 2w \) meters. Given that the perimeter is 30 meters, we can write the equation for the perimeter as follows: \( 2(w + 2w) = 30 \\). Simplifying this gives us \( 6w = 30 \\), which means \( w = 5 \\) meters. Hence, the length is \( 2w = 10 \\) meters. The area of the rectangle can then be calculated as \( \\text{Area} = w \\times 2w = 5 \\times 10 = 50 \\) square meters.",0.991,90.0,85.0,85.0,90.0,90.0,85.0,100.0,95.71428571428571,1.0,0.9445743741577959
78,"A car travels between two cities, A and B. If the car takes 3 hours to travel from A to B at an average speed of 60 km/h, how long will it take to return from B to A if the return speed is 60 km/h more than the original speed?","A car travels from city A to city B at an average speed of 60 km/h, taking exactly 3 hours. On the return trip from B to A, the car increases its speed by 60 km/h. How long will the return journey take?",0.991,90.0,85.0,85.0,90.0,90.0,85.0,100.0,95.71428571428571,1.0,0.9445743741577959
79,"Two trains start from the same point, heading towards a common destination, 100 miles apart. One train travels at a constant speed of 30 mph, while the other train accelerates uniformly over the distance. How long will it take for the faster train to reach the destination?","Two trains depart from the same station and head towards a destination 100 miles away. Train A travels at a constant speed of 30 mph, while Train B starts from rest and accelerates uniformly at a rate of 2 mph^2. At what time will Train B catch up to Train A? If Train B catches up to Train A before reaching the destination, calculate the distance from the starting point where this occurs."",
    ""solution"": ""To solve this problem, first express the position of each train as a function of time. For Train A, since it moves at a constant speed of 30 mph, its position \( s_A(t) \) after \( t \) hours is given by:\n\[ s_A(t) = 30t \\]\nFor Train B, which starts from rest and accelerates uniformly at 2 mph^2, its position \( s_B(t) \) can be expressed as:\n\[ s_B(t) = \frac{1}{2} \cdot 2 \cdot t^2 = t^2 \\]\nSet \( s_A(t) = s_B(t) \) to find when Train B catches up to Train A:\n\[ 30t = t^2 \\]\nThis simplifies to:\n\[ t^2 - 30t = 0 \\]\nFactor out \( t \):\n\[ t(t - 30) = 0 \\]\nThus, \( t = 0 \) (the start) or \( t = 30 \) hours. Since we're interested in the time after departure, we use \( t = 30 \). However, check if they meet within 100 miles:\n\[ s_B(30) = 30^2 = 900 \text{ miles} \\]\nSince 900 miles exceeds 100 miles, they do not meet within the 100-mile range. Thus, Train B reaches the destination first. Calculate Train B's time to reach 100 miles:\n\[ 100 = t^2 \\]\nSo,\n\[ t = \sqrt{100} = 10 \text{ hours} \\]\nTrain A's position after 10 hours is:\n\[ s_A(10) = 30 \times 10 = 300 \text{ miles} \\]\nThus, Train B reaches the destination first, and Train A has not caught up.",0.829,80.0,85.0,85.0,85.0,90.0,85.0,95.0,92.85714285714286,1.0,0.9490544297275291
80,A rectangular field has a perimeter of 100 meters. Calculate the area of the field.,"A rectangular field has a perimeter of 100 meters. If the length of the field is twice its width, what is the area of the field?",0.833,80.0,90.0,85.0,90.0,90.0,85.0,95.0,95.0,1.0,0.9485808510541727
81,"If a car travels at a speed of 60 miles per hour for 2 hours, how far does the car travel if it starts with half a tank of gas?","A car travels at a constant speed of 60 miles per hour for 2 hours. If the car's fuel efficiency is 30 miles per gallon and it starts with a full tank of 15 gallons, determine how far the car can travel before it runs out of gas, assuming it maintains this speed."",
    ""solution"": ""First, calculate the total distance the car can travel on a full tank of gas. The car’s fuel efficiency is 30 miles per gallon, and it starts with a full tank of 15 gallons. Therefore, the total distance the car can travel on a full tank is \( 30 \text{ miles/gallon} \times 15 \text{ gallons} = 450 \text{ miles} \\). Since the car travels at a constant speed of 60 miles per hour for 2 hours, it will cover \( 60 \text{ miles/hour} \times 2 \text{ hours} = 120 \text{ miles} \\) within those 2 hours. Given the fuel efficiency and initial fuel, the car has enough fuel to travel 120 miles without running out of gas.",0.829,70.0,85.0,85.0,85.0,85.0,85.0,95.0,92.85714285714286,1.0,0.9196031103347022
82,"If a train travels from City A to City B at 60 miles per hour, and another train travels from City A to City C at 80 miles per hour, how long does it take for the first train to reach City D if both trains start at the same time?","Two trains depart simultaneously from City A towards their respective destinations. Train X heads to City B at a constant speed of 60 miles per hour, while Train Y travels to City C at a constant speed of 80 miles per hour. If City D is located exactly halfway between City A and City B along the route taken by Train X, calculate how long it takes for Train X to reach City D if the distance between City A and City B is 180 miles.",0.83,70.0,85.0,85.0,90.0,90.0,85.0,95.0,93.57142857142857,1.0,0.9150163414401202
83,"In a math class, the teacher asks: 'If you double a number, then add 10, the result is 3. What is the number?' Consider all possible scenarios and provide a detailed solution.","Imagine you have a secret number. If you double this number and then add 10, the result is 3. Can you find out what your secret number is? Additionally, explain why there is only one possible solution for this scenario.",0.987,90.0,85.0,85.0,85.0,85.0,85.0,95.0,93.57142857142857,1.0,0.958204758085305
